Image Name,PSNR (dB),SSIM,MAE
07821.png,29.18356025769015,0.8669881826555904,5.2605414
04363.png,35.75706031807456,0.9677491438952525,2.0973117
07433.png,28.898363132420553,0.9543483093647387,4.283854
05444.png,30.684271323300187,0.9135373754327895,4.1731873
03472.png,26.7516540359431,0.8290417755758904,8.08239
01053.png,28.57507198016778,0.9193245617947151,6.274479
05607.png,26.5618426023795,0.8689951425361526,7.9639716
02179.png,30.832001749277044,0.8114477722248572,5.3952956
01050.png,33.1110119118846,0.9595256250185731,2.9039814
01889.png,32.36045498837704,0.9378775681535872,3.5994809
01629.png,30.85201119270294,0.8811978022523292,5.112536
05928.png,32.95326994031325,0.9321390735726055,3.4497426
03723.png,26.838662140866614,0.8077392301738012,8.883924
01705.png,19.062748014102613,0.8793259981570821,9.002784
05686.png,31.671841586238667,0.8802626750679442,4.9020715
03153.png,24.645424136262996,0.921895916451685,7.188019
04930.png,31.756181523120613,0.8397390139317213,4.5141983
03584.png,31.052361790887133,0.9373659409545465,3.967818
07510.png,29.560184129566743,0.7854154279761394,6.295775
04758.png,25.407207637074055,0.8817509354200705,6.541645
00822.png,34.858101048228754,0.9427271528286124,3.4035492
01471.png,34.76362665315851,0.9660629307235072,2.9571736
08560.png,34.01896723363335,0.9628650546173015,2.6465213
05074.png,28.320297600590557,0.9395300692126699,4.2077203
05824.png,33.70766760294256,0.9414274198244282,3.4009488
03276.png,27.051121115084516,0.9445685282546012,4.812487
02471.png,28.144946240294715,0.9422418447248831,4.565562
00925.png,28.52584673637611,0.8574697705687283,6.464091
07843.png,24.818609085257656,0.9067102442671687,5.1284537
01421.png,31.039297117646107,0.9377739085111059,2.9355748
04958.png,31.661193183343755,0.8508932942927346,4.708468
04252.png,28.925294987094986,0.9354336698252522,5.063465
00662.png,31.851665078497312,0.8844005451340342,3.7932026
02218.png,22.899490138483223,0.8426433357486883,9.050813
02169.png,29.676835861417302,0.9224444302283291,4.398974
01610.png,29.672352389710884,0.9249078705893624,4.7979455
01068.png,27.90923275301885,0.8945182701937785,5.2897706
06662.png,28.63787874802357,0.8537930838985431,6.0795197
01146.png,28.218251360879947,0.9075767754294697,5.6618233
06088.png,28.722086308288944,0.9506900506470704,5.475283
08489.png,31.77992388175432,0.9282810044296212,2.7510197
06300.png,28.499586481274267,0.9428766433319703,4.20999
02268.png,28.149038166425527,0.7798555098605845,6.876938
06703.png,25.649364721239117,0.8369377672337249,7.5441155
06238.png,34.5507405873001,0.9423558642995511,2.8701782
05804.png,30.402988494101415,0.7842102233589291,5.386284
06042.png,31.634928629780163,0.9626091703119024,4.2582307
00279.png,27.893584839325392,0.931857424330444,5.01082
01459.png,30.482798091374654,0.894536006767315,3.8526905
07541.png,25.14048347561974,0.8238447489436084,7.212107
07121.png,28.094829291789512,0.9442095198893558,3.4486592
05752.png,26.846735022861587,0.7898384380148108,8.166928
07944.png,32.73704358946678,0.7990120209111264,4.4510903
07125.png,27.799643854475743,0.8287475511710216,6.7294097
07099.png,30.518734667601073,0.9276233051546717,4.05382
02032.png,25.691285568995298,0.8799004729617383,8.033647
05524.png,27.885165032483226,0.9455916025962128,5.03486
00847.png,25.601232262057678,0.91236501114529,8.374809
05788.png,32.40629572825773,0.9485477084296202,4.4419875
04217.png,32.54348914415338,0.9534288958749696,3.6177776
07765.png,34.36411566336113,0.950237950504202,3.3766353
08150.png,32.31652885082367,0.953716908649068,4.272583
